feature,feature_type,missing_fraction,n_unique,most_frequent_fraction,is_constant,is_near_constant,is_likely_identifier
D15,numeric,0.15067565279235953,850,0.2948284620855488,False,False,False
M1,boolean,0.4582314491821045,2,0.5417346835100078,False,False,False
M2,boolean,0.4582314491821045,2,0.48413768189566614,False,False,False
M3,boolean,0.4582314491821045,2,0.4582314491821045,False,False,False
M4,categorical,0.47712489134238717,3,0.47712489134238717,False,False,False
M5,boolean,0.5938045404770774,2,0.5938045404770774,False,False,False
M6,boolean,0.2862058454973414,2,0.3855973628656258,False,False,False
M7,boolean,0.5854099637619805,2,0.5854099637619805,False,False,False
M8,boolean,0.5853851277361962,2,0.5853851277361962,False,False,False
M9,boolean,0.5853851277361962,2,0.5853851277361962,False,False,False
V1,boolean,0.4720944672108014,2,0.5278874702249918,False,False,False
V2,numeric,0.4720944672108014,9,0.5069168331809304,False,False,False
V3,numeric,0.4720944672108014,10,0.49285512694595907,False,False,False
V4,numeric,0.4720944672108014,7,0.4720944672108014,False,False,False
V5,numeric,0.4720944672108014,7,0.4720944672108014,False,False,False
V6,numeric,0.4720944672108014,10,0.5065194567683815,False,False,False
V7,numeric,0.4720944672108014,10,0.4945281719556113,False,False,False
V8,numeric,0.4720944672108014,9,0.5146611575845836,False,False,False
V9,numeric,0.4720944672108014,9,0.5082060487011888,False,False,False
V10,numeric,0.4720944672108014,5,0.4720944672108014,False,False,False
V11,numeric,0.4720944672108014,5,0.4720944672108014,False,False,False
V12,numeric,0.12854223817748728,4,0.4764204513383231,False,False,False
V13,numeric,0.12854223817748728,7,0.48764859281335726,False,False,False
V14,boolean,0.12854223817748728,2,0.8710220024610243,False,False,False
V15,numeric,0.12854223817748728,8,0.7660220589065375,False,False,False
V16,numeric,0.12854223817748728,14,0.7659814181370723,False,False,False
V17,numeric,0.12854223817748728,13,0.75869317347964,False,False,False
V18,numeric,0.12854223817748728,13,0.7586389857870198,False,False,False
V19,numeric,0.12854223817748728,8,0.6871541301181969,False,False,False
V20,numeric,0.12854223817748728,14,0.6809067407231799,False,False,False
V21,numeric,0.12854223817748728,6,0.759356972714239,False,False,False
V22,numeric,0.12854223817748728,9,0.759298269380567,False,False,False
V23,numeric,0.12854223817748728,13,0.8449306284643434,False,False,False
V24,numeric,0.12854223817748728,13,0.827414456824827,False,False,False
V25,numeric,0.12854223817748728,6,0.8425599169122047,False,False,False
V26,numeric,0.12854223817748728,13,0.8390264277892551,False,False,False
V27,numeric,0.12854223817748728,4,0.8707984782289656,False,False,False
V28,numeric,0.12854223817748728,4,0.8707962204084397,False,False,False
V29,numeric,0.12854223817748728,6,0.5419988485115318,False,False,False
V30,numeric,0.12854223817748728,8,0.5396213634978155,False,False,False
V31,numeric,0.12854223817748728,8,0.7506824262539371,False,False,False
V32,numeric,0.12854223817748728,14,0.7506327542023684,False,False,False
V33,numeric,0.12854223817748728,6,0.758826384890665,False,False,False
V34,numeric,0.12854223817748728,13,0.7524299793409421,False,False,False
V35,numeric,0.28594393831634324,4,0.37580519524503,False,False,False
V36,numeric,0.28594393831634324,6,0.383463722468701,False,False,False
V37,numeric,0.28594393831634324,45,0.6693354105282171,False,False,False
V38,numeric,0.28594393831634324,51,0.6472561836059652,False,False,False
V39,numeric,0.28594393831634324,16,0.6065160700375927,False,False,False
V40,numeric,0.28594393831634324,18,0.6062406159334395,False,False,False
V41,boolean,0.28594393831634324,2,0.7135412786037638,False,False,False
V42,numeric,0.28594393831634324,8,0.6072453460674411,False,False,False
V43,numeric,0.28594393831634324,9,0.6069473137580293,False,False,False
V44,numeric,0.28594393831634324,46,0.6736275273478511,False,False,False
V45,numeric,0.28594393831634324,47,0.6556417290389587,False,False,False
V46,numeric,0.28594393831634324,7,0.6981993881306375,False,False,False
V47,numeric,0.28594393831634324,9,0.6886104243573679,False,False,False
V48,numeric,0.28594393831634324,6,0.4472855352728012,False,False,False
V49,numeric,0.28594393831634324,6,0.446332735010894,False,False,False
V50,numeric,0.28594393831634324,6,0.5972093338300538,False,False,False
V51,numeric,0.28594393831634324,7,0.59899978550705,False,False,False
V52,numeric,0.28594393831634324,9,0.5951321389462751,False,False,False
V53,numeric,0.13023560357187208,6,0.48790146871225204,False,False,False
V54,numeric,0.13023560357187208,7,0.5000011289102629,False,False,False
V55,numeric,0.13023560357187208,18,0.8284959528567074,False,False,False
V56,numeric,0.13023560357187208,41,0.8005396191056773,False,False,False
V57,numeric,0.13023560357187208,7,0.7621927952947021,False,False,False
V58,numeric,0.13023560357187208,11,0.7618225127284632,False,False,False
V59,numeric,0.13023560357187208,16,0.7600975378467165,False,False,False
V60,numeric,0.13023560357187208,16,0.7596414581004955,False,False,False
V61,numeric,0.13023560357187208,7,0.6844763549745431,False,False,False
V62,numeric,0.13023560357187208,11,0.6749889931249365,False,False,False
V63,numeric,0.13023560357187208,8,0.7606687664397557,False,False,False
V64,numeric,0.13023560357187208,8,0.7601584990009144,False,False,False
V65,boolean,0.13023560357187208,2,0.8694708797597679,False,False,False
V66,numeric,0.13023560357187208,8,0.8313927365913684,False,False,False
V67,numeric,0.13023560357187208,9,0.8241564218060307,False,False,False
V68,numeric,0.13023560357187208,3,0.8693399261692688,False,False,False
V69,numeric,0.13023560357187208,6,0.5401203418340276,False,False,False
V70,numeric,0.13023560357187208,7,0.537864779128707,False,False,False
V71,numeric,0.13023560357187208,7,0.7519942199794538,False,False,False
V72,numeric,0.13023560357187208,11,0.7516171639516375,False,False,False
V73,numeric,0.13023560357187208,8,0.7537508043485623,False,False,False
V74,numeric,0.13023560357187208,9,0.7471037807204706,False,False,False
V75,numeric,0.15075016086971246,5,0.4494214334902519,False,False,False
V76,numeric,0.15075016086971246,7,0.46329799844210384,False,False,False
V77,numeric,0.15075016086971246,29,0.8036621848929228,False,False,False
V78,numeric,0.15075016086971246,32,0.7756381165261174,False,False,False
V79,numeric,0.15075016086971246,8,0.7401384043982344,False,False,False
V80,numeric,0.15075016086971246,20,0.7366297513010691,False,False,False
V81,numeric,0.15075016086971246,20,0.7364897664284666,False,False,False
V82,numeric,0.15075016086971246,8,0.6814305550851762,False,False,False
V83,numeric,0.15075016086971246,8,0.6714442148993577,False,False,False
V84,numeric,0.15075016086971246,8,0.7374922387419424,False,False,False
V85,numeric,0.15075016086971246,8,0.7372529097662027,False,False,False
V86,numeric,0.15075016086971246,28,0.8078707623531005,False,False,False
V87,numeric,0.15075016086971246,29,0.7855725268398415,False,False,False
V88,boolean,0.15075016086971246,2,0.8486153915625247,False,False,False
V89,numeric,0.15075016086971246,3,0.8485341100235942,False,False,False
V90,numeric,0.15075016086971246,6,0.5173728000361252,False,False,False
V91,numeric,0.15075016086971246,7,0.5162122802858401,False,False,False
V92,numeric,0.15075016086971246,8,0.7264289181652951,False,False,False
V93,numeric,0.15075016086971246,8,0.7264176290626658,False,False,False
V94,numeric,0.15075016086971246,3,0.7332746299996613,False,False,False
V95,numeric,0.0005170409004188257,752,0.864618823449724,False,False,False
V96,numeric,0.0005170409004188257,1109,0.6204671430667976,False,False,False
V97,numeric,0.0005170409004188257,806,0.7690881791806369,False,False,False
V98,numeric,0.0005170409004188257,12,0.9460177690475384,False,False,False
V99,numeric,0.0005170409004188257,89,0.6835777424052563,False,False,False
V100,numeric,0.0005170409004188257,28,0.8407965590815186,False,False,False
V101,numeric,0.0005170409004188257,738,0.9421207708199275,False,False,False
V102,numeric,0.0005170409004188257,1019,0.9079035007507253,False,False,False
V103,numeric,0.0005170409004188257,775,0.9277858683013287,False,False,False
V104,numeric,0.0005170409004188257,16,0.9542655874284554,False,False,False
V105,numeric,0.0005170409004188257,84,0.9274178435556157,False,False,False
V106,numeric,0.0005170409004188257,53,0.9449994919903817,False,False,False
V107,boolean,0.0005170409004188257,2,0.9990404262765152,False,True,False
V108,numeric,0.0005170409004188257,8,0.9943667377880132,False,False,False
V109,numeric,0.0005170409004188257,8,0.9850238764520608,False,False,False
V110,numeric,0.0005170409004188257,8,0.9915444621307052,False,False,False
V111,numeric,0.0005170409004188257,10,0.9965319876722999,False,True,False
V112,numeric,0.0005170409004188257,10,0.9944006050959009,False,False,False
V113,numeric,0.0005170409004188257,10,0.9959968842076743,False,True,False
V114,numeric,0.0005170409004188257,7,0.9901130039173186,False,False,False
V115,numeric,0.0005170409004188257,7,0.9688894909743625,False,False,False
V116,numeric,0.0005170409004188257,7,0.9842042876011786,False,False,False
V117,numeric,0.0005170409004188257,4,0.998236642169314,False,True,False
V118,numeric,0.0005170409004188257,4,0.9978076562694032,False,True,False
V119,numeric,0.0005170409004188257,4,0.9981711653740644,False,True,False
V120,numeric,0.0005170409004188257,4,0.9977602420383603,False,True,False
V121,numeric,0.0005170409004188257,4,0.9950598886894481,False,True,False
V122,numeric,0.0005170409004188257,4,0.9971619195990111,False,True,False
V123,numeric,0.0005170409004188257,14,0.973423194590262,False,False,False
V124,numeric,0.0005170409004188257,14,0.924841670335625,False,False,False
V125,numeric,0.0005170409004188257,14,0.9578645533466544,False,False,False
V126,numeric,0.0005170409004188257,8465,0.864618823449724,False,False,False
V127,numeric,0.0005170409004188257,20489,0.6204671430667976,False,False,False
V128,numeric,0.0005170409004188257,12076,0.7690881791806369,False,False,False
V129,numeric,0.0005170409004188257,1700,0.9460177690475384,False,False,False
V130,numeric,0.0005170409004188257,10742,0.6835777424052563,False,False,False
V131,numeric,0.0005170409004188257,3898,0.8407965590815186,False,False,False
V132,numeric,0.0005170409004188257,5433,0.9421207708199275,False,False,False
V133,numeric,0.0005170409004188257,8353,0.9079035007507253,False,False,False
V134,numeric,0.0005170409004188257,6819,0.9277858683013287,False,False,False
V135,numeric,0.0005170409004188257,3101,0.9542655874284554,False,False,False
V136,numeric,0.0005170409004188257,4144,0.9274178435556157,False,False,False
V137,numeric,0.0005170409004188257,3571,0.9449994919903817,False,False,False
V138,numeric,0.8614149761235479,19,0.8614149761235479,False,False,False
V139,numeric,0.8614149761235479,33,0.8614149761235479,False,False,False
V140,numeric,0.8614149761235479,33,0.8614149761235479,False,False,False
V141,numeric,0.8614149761235479,6,0.8614149761235479,False,False,False
V142,numeric,0.8614149761235479,10,0.8614149761235479,False,False,False
V143,numeric,0.8614036870209187,738,0.8614036870209187,False,False,False
V144,numeric,0.8614036870209187,63,0.8614036870209187,False,False,False
V145,numeric,0.8614036870209187,258,0.8614036870209187,False,False,False
V146,numeric,0.8614149761235479,24,0.8614149761235479,False,False,False
V147,numeric,0.8614149761235479,26,0.8614149761235479,False,False,False
V148,numeric,0.8614149761235479,20,0.8614149761235479,False,False,False
V149,numeric,0.8614149761235479,20,0.8614149761235479,False,False,False
V150,numeric,0.8614036870209187,1849,0.8614036870209187,False,False,False
V151,numeric,0.8614036870209187,55,0.8614036870209187,False,False,False
V152,numeric,0.8614036870209187,35,0.8614036870209187,False,False,False
V153,numeric,0.8614149761235479,16,0.8614149761235479,False,False,False
V154,numeric,0.8614149761235479,16,0.8614149761235479,False,False,False
V155,numeric,0.8614149761235479,23,0.8614149761235479,False,False,False
V156,numeric,0.8614149761235479,23,0.8614149761235479,False,False,False
V157,numeric,0.8614149761235479,23,0.8614149761235479,False,False,False
V158,numeric,0.8614149761235479,23,0.8614149761235479,False,False,False
V159,numeric,0.8614036870209187,5446,0.8614036870209187,False,False,False
V160,numeric,0.8614036870209187,7549,0.8614036870209187,False,False,False
V161,numeric,0.8614149761235479,75,0.8614149761235479,False,False,False
V162,numeric,0.8614149761235479,166,0.8614149761235479,False,False,False
V163,numeric,0.8614149761235479,102,0.8614149761235479,False,False,False
V164,numeric,0.8614036870209187,1647,0.8614036870209187,False,False,False
V165,numeric,0.8614036870209187,2169,0.8614036870209187,False,False,False
V166,numeric,0.8614036870209187,938,0.8614036870209187,False,False,False
V167,numeric,0.7638590668427767,740,0.7638590668427767,False,False,False
V168,numeric,0.7638590668427767,834,0.7638590668427767,False,False,False
V169,numeric,0.7635474876102099,19,0.7635474876102099,False,False,False
V170,numeric,0.7635474876102099,48,0.7635474876102099,False,False,False
V171,numeric,0.7635474876102099,55,0.7635474876102099,False,False,False
V172,numeric,0.7638590668427767,32,0.7638590668427767,False,False,False
V173,numeric,0.7638590668427767,8,0.7638590668427767,False,False,False
V174,numeric,0.7635474876102099,8,0.7635474876102099,False,False,False
V175,numeric,0.7635474876102099,13,0.7635474876102099,False,False,False
V176,numeric,0.7638590668427767,49,0.7638590668427767,False,False,False
V177,numeric,0.7638590668427767,722,0.7638590668427767,False,False,False
V178,numeric,0.7638590668427767,980,0.7638590668427767,False,False,False
V179,numeric,0.7638590668427767,777,0.7638590668427767,False,False,False
V180,numeric,0.7635474876102099,78,0.7635474876102099,False,False,False
V181,numeric,0.7638590668427767,24,0.7638590668427767,False,False,False
V182,numeric,0.7638590668427767,77,0.7638590668427767,False,False,False
V183,numeric,0.7638590668427767,41,0.7638590668427767,False,False,False
V184,numeric,0.7635474876102099,17,0.7635474876102099,False,False,False
V185,numeric,0.7635474876102099,30,0.7635474876102099,False,False,False
V186,numeric,0.7638590668427767,38,0.7638590668427767,False,False,False
V187,numeric,0.7638590668427767,207,0.7638590668427767,False,False,False
V188,numeric,0.7635474876102099,28,0.7635474876102099,False,False,False
V189,numeric,0.7635474876102099,28,0.7635474876102099,False,False,False
V190,numeric,0.7638590668427767,42,0.7638590668427767,False,False,False
V191,numeric,0.7638590668427767,22,0.7638590668427767,False,False,False
V192,numeric,0.7638590668427767,45,0.7638590668427767,False,False,False
V193,numeric,0.7638590668427767,37,0.7638590668427767,False,False,False
V194,numeric,0.7635474876102099,8,0.7635474876102099,False,False,False
V195,numeric,0.7635474876102099,16,0.7635474876102099,False,False,False
V196,numeric,0.7638590668427767,39,0.7638590668427767,False,False,False
V197,numeric,0.7635474876102099,15,0.7635474876102099,False,False,False
V198,numeric,0.7635474876102099,22,0.7635474876102099,False,False,False
V199,numeric,0.7638590668427767,45,0.7638590668427767,False,False,False
V200,numeric,0.7635474876102099,45,0.7635474876102099,False,False,False
V201,numeric,0.7635474876102099,53,0.7635474876102099,False,False,False
V202,numeric,0.7638590668427767,8887,0.7638590668427767,False,False,False
V203,numeric,0.7638590668427767,12028,0.7638590668427767,False,False,False
V204,numeric,0.7638590668427767,10416,0.7638590668427767,False,False,False
V205,numeric,0.7638590668427767,2001,0.7638590668427767,False,False,False
V206,numeric,0.7638590668427767,1577,0.7638590668427767,False,False,False
V207,numeric,0.7638590668427767,2868,0.7638590668427767,False,False,False
V208,numeric,0.7635474876102099,2296,0.7635474876102099,False,False,False
V209,numeric,0.7635474876102099,3026,0.7635474876102099,False,False,False
V210,numeric,0.7635474876102099,2535,0.7635474876102099,False,False,False
V211,numeric,0.7638590668427767,6159,0.7638590668427767,False,False,False
V212,numeric,0.7638590668427767,7154,0.7638590668427767,False,False,False
V213,numeric,0.7638590668427767,6722,0.7638590668427767,False,False,False
V214,numeric,0.7638590668427767,1919,0.7638590668427767,False,False,False
V215,numeric,0.7638590668427767,2326,0.7638590668427767,False,False,False
V216,numeric,0.7638590668427767,2133,0.7638590668427767,False,False,False
V217,numeric,0.7793838407784965,256,0.7793838407784965,False,False,False
V218,numeric,0.7793838407784965,337,0.7793838407784965,False,False,False
V219,numeric,0.7793838407784965,313,0.7793838407784965,False,False,False
V220,numeric,0.7608426186202458,26,0.7608426186202458,False,False,False
V221,numeric,0.7608426186202458,66,0.7608426186202458,False,False,False
V222,numeric,0.7608426186202458,69,0.7608426186202458,False,False,False
V223,numeric,0.7793838407784965,16,0.7793838407784965,False,False,False
V224,numeric,0.7793838407784965,74,0.7793838407784965,False,False,False
V225,numeric,0.7793838407784965,31,0.7793838407784965,False,False,False
V226,numeric,0.7793838407784965,80,0.7793838407784965,False,False,False
V227,numeric,0.7608426186202458,41,0.7608426186202458,False,False,False
V228,numeric,0.7793838407784965,48,0.7793838407784965,False,False,False
V229,numeric,0.7793838407784965,86,0.7793838407784965,False,False,False
V230,numeric,0.7793838407784965,63,0.7793838407784965,False,False,False
V231,numeric,0.7793838407784965,248,0.7793838407784965,False,False,False
V232,numeric,0.7793838407784965,283,0.7793838407784965,False,False,False
V233,numeric,0.7793838407784965,277,0.7793838407784965,False,False,False
V234,numeric,0.7608426186202458,121,0.7608426186202458,False,False,False
V235,numeric,0.7793838407784965,22,0.7793838407784965,False,False,False
V236,numeric,0.7793838407784965,41,0.7793838407784965,False,False,False
V237,numeric,0.7793838407784965,34,0.7793838407784965,False,False,False
V238,numeric,0.7608426186202458,22,0.7608426186202458,False,False,False
V239,numeric,0.7608426186202458,23,0.7608426186202458,False,False,False
V240,numeric,0.7793838407784965,6,0.7793838407784965,False,False,False
V241,numeric,0.7793838407784965,4,0.7793838407784965,False,False,False
V242,numeric,0.7793838407784965,21,0.7793838407784965,False,False,False
V243,numeric,0.7793838407784965,42,0.7793838407784965,False,False,False
V244,numeric,0.7793838407784965,23,0.7793838407784965,False,False,False
V245,numeric,0.7608426186202458,50,0.7608426186202458,False,False,False
V246,numeric,0.7793838407784965,40,0.7793838407784965,False,False,False
V247,numeric,0.7793838407784965,17,0.7793838407784965,False,False,False
V248,numeric,0.7793838407784965,20,0.7793838407784965,False,False,False
V249,numeric,0.7793838407784965,21,0.7793838407784965,False,False,False
V250,numeric,0.7608426186202458,18,0.7608426186202458,False,False,False
V251,numeric,0.7608426186202458,18,0.7608426186202458,False,False,False
V252,numeric,0.7793838407784965,24,0.7793838407784965,False,False,False
V253,numeric,0.7793838407784965,62,0.7793838407784965,False,False,False
V254,numeric,0.7793838407784965,43,0.7793838407784965,False,False,False
V255,numeric,0.7608426186202458,41,0.7608426186202458,False,False,False
V256,numeric,0.7608426186202458,45,0.7608426186202458,False,False,False
V257,numeric,0.7793838407784965,47,0.7793838407784965,False,False,False
V258,numeric,0.7793838407784965,65,0.7793838407784965,False,False,False
V259,numeric,0.7608426186202458,61,0.7608426186202458,False,False,False
V260,numeric,0.7793838407784965,9,0.7793838407784965,False,False,False
V261,numeric,0.7793838407784965,39,0.7793838407784965,False,False,False
V262,numeric,0.7793838407784965,20,0.7793838407784965,False,False,False
V263,numeric,0.7793838407784965,8466,0.7793838407784965,False,False,False
V264,numeric,0.7793838407784965,10758,0.7793838407784965,False,False,False
V265,numeric,0.7793838407784965,9510,0.7793838407784965,False,False,False
V266,numeric,0.7793838407784965,1933,0.7793838407784965,False,False,False
V267,numeric,0.7793838407784965,3169,0.7793838407784965,False,False,False
V268,numeric,0.7793838407784965,2445,0.7793838407784965,False,False,False
V269,numeric,0.7793838407784965,128,0.7793838407784965,False,False,False
V270,numeric,0.7608426186202458,2082,0.7608426186202458,False,False,False
V271,numeric,0.7608426186202458,2439,0.7608426186202458,False,False,False
V272,numeric,0.7608426186202458,2219,0.7608426186202458,False,False,False
V273,numeric,0.7793838407784965,5830,0.7793838407784965,False,False,False
V274,numeric,0.7793838407784965,6686,0.7793838407784965,False,False,False
V275,numeric,0.7793838407784965,6269,0.7793838407784965,False,False,False
V276,numeric,0.7793838407784965,1894,0.7793838407784965,False,False,False
V277,numeric,0.7793838407784965,2147,0.7793838407784965,False,False,False
V278,numeric,0.7793838407784965,2018,0.7793838407784965,False,False,False
V279,numeric,2.2578205258464003e-05,754,0.8334247750646301,False,False,False
V280,numeric,2.2578205258464003e-05,836,0.7153091520755015,False,False,False
V281,numeric,0.002090741806933767,19,0.9503347218929568,False,False,False
V282,numeric,0.002090741806933767,32,0.5357243652702046,False,False,False
V283,numeric,0.002090741806933767,57,0.48169472008670033,False,False,False
V284,numeric,2.2578205258464003e-05,13,0.9238753231505628,False,False,False
V285,numeric,2.2578205258464003e-05,96,0.6005463925672548,False,False,False
V286,numeric,2.2578205258464003e-05,9,0.9708154118829094,False,False,False
V287,numeric,2.2578205258464003e-05,32,0.7905419898172295,False,False,False
V288,numeric,0.002090741806933767,10,0.8289949311929194,False,False,False
V289,numeric,0.002090741806933767,13,0.8246328219369843,False,False,False
V290,numeric,2.2578205258464003e-05,52,0.9346090019304365,False,False,False
V291,numeric,2.2578205258464003e-05,184,0.7837143405470699,False,False,False
V292,numeric,2.2578205258464003e-05,148,0.8843657217687766,False,False,False
V293,numeric,2.2578205258464003e-05,738,0.9256341653401972,False,False,False
V294,numeric,2.2578205258464003e-05,1055,0.8798500807170838,False,False,False
V295,numeric,2.2578205258464003e-05,809,0.9063975344599857,False,False,False
V296,numeric,0.002090741806933767,87,0.908775019473702,False,False,False
V297,numeric,2.2578205258464003e-05,13,0.9526873708808887,False,False,False
V298,numeric,2.2578205258464003e-05,82,0.9192377597904743,False,False,False
V299,numeric,2.2578205258464003e-05,48,0.9407728519659972,False,False,False
V300,numeric,0.002090741806933767,12,0.9641232318443007,False,False,False
V301,numeric,0.002090741806933767,14,0.960605547465032,False,False,False
V302,numeric,2.2578205258464003e-05,17,0.7626624219640781,False,False,False
V303,numeric,2.2578205258464003e-05,21,0.7615380273422065,False,False,False
V304,numeric,2.2578205258464003e-05,17,0.7620686151657805,False,False,False
V305,numeric,2.2578205258464003e-05,2,0.999970648333164,False,True,False
V306,numeric,2.2578205258464003e-05,13372,0.8334247750646301,False,False,False
V307,numeric,2.2578205258464003e-05,31169,0.5356814666802135,False,False,False
V308,numeric,2.2578205258464003e-05,19064,0.7153091520755015,False,False,False
V309,numeric,2.2578205258464003e-05,3717,0.9238753231505628,False,False,False
V310,numeric,2.2578205258464003e-05,16706,0.6005463925672548,False,False,False
V311,numeric,2.2578205258464003e-05,2696,0.9708154118829094,False,False,False
V312,numeric,2.2578205258464003e-05,7109,0.7905419898172295,False,False,False
V313,numeric,0.002090741806933767,4945,0.8289949311929194,False,False,False
V314,numeric,0.002090741806933767,10027,0.8013930752644473,False,False,False
V315,numeric,0.002090741806933767,6208,0.8246328219369843,False,False,False
V316,numeric,2.2578205258464003e-05,8113,0.9256341653401972,False,False,False
V317,numeric,2.2578205258464003e-05,12652,0.8798500807170838,False,False,False
V318,numeric,2.2578205258464003e-05,10203,0.9063975344599857,False,False,False
V319,numeric,2.2578205258464003e-05,3993,0.9526873708808887,False,False,False
V320,numeric,2.2578205258464003e-05,5481,0.9192377597904743,False,False,False
V321,numeric,2.2578205258464003e-05,4645,0.9407728519659972,False,False,False
V322,numeric,0.8607376299657941,747,0.8607376299657941,False,False,False
V323,numeric,0.8607376299657941,1090,0.8607376299657941,False,False,False
V324,numeric,0.8607376299657941,801,0.8607376299657941,False,False,False
V325,numeric,0.8607376299657941,11,0.8607376299657941,False,False,False
V326,numeric,0.8607376299657941,45,0.8607376299657941,False,False,False
V327,numeric,0.8607376299657941,18,0.8607376299657941,False,False,False
V328,numeric,0.8607376299657941,16,0.8607376299657941,False,False,False
V329,numeric,0.8607376299657941,81,0.8607376299657941,False,False,False
V330,numeric,0.8607376299657941,52,0.8607376299657941,False,False,False
V331,numeric,0.8607376299657941,1372,0.8607376299657941,False,False,False
V332,numeric,0.8607376299657941,1963,0.8607376299657941,False,False,False
V333,numeric,0.8607376299657941,1568,0.8607376299657941,False,False,False
V334,numeric,0.8607376299657941,129,0.8607376299657941,False,False,False
V335,numeric,0.8607376299657941,600,0.8607376299657941,False,False,False
V336,numeric,0.8607376299657941,318,0.8607376299657941,False,False,False
V337,numeric,0.8607376299657941,214,0.8607376299657941,False,False,False
V338,numeric,0.8607376299657941,328,0.8607376299657941,False,False,False
V339,numeric,0.8607376299657941,280,0.8607376299657941,False,False,False
id_01,numeric,0.7560853907722875,75,0.7560853907722875,False,False,False
id_02,numeric,0.7617750984974204,90655,0.7617750984974204,False,False,False
id_03,numeric,0.8877479369164946,24,0.8877479369164946,False,False,False
id_04,numeric,0.8877479369164946,15,0.8877479369164946,False,False,False
id_05,numeric,0.7686320994344159,90,0.7686320994344159,False,False,False
id_06,numeric,0.7686320994344159,99,0.7686320994344159,False,False,False
id_07,numeric,0.9913073909754914,79,0.9913073909754914,False,False,False
id_08,numeric,0.9913073909754914,94,0.9913073909754914,False,False,False
id_09,numeric,0.8732843386279224,45,0.8732843386279224,False,False,False
id_10,numeric,0.8732843386279224,60,0.8732843386279224,False,False,False
id_11,numeric,0.7616035041374561,327,0.7616035041374561,False,False,False
id_12,categorical,0.7560853907722875,2,0.7560853907722875,False,False,False
id_13,categorical,0.7847100393989682,52,0.7847100393989682,False,False,False
id_14,categorical,0.8646346281934049,24,0.8646346281934049,False,False,False
id_15,categorical,0.7615922150348269,3,0.7615922150348269,False,False,False
id_16,categorical,0.781257831814949,2,0.781257831814949,False,False,False
id_17,categorical,0.7642993418453167,101,0.7642993418453167,False,False,False
id_18,categorical,0.9239701516126483,17,0.9239701516126483,False,False,False
id_19,categorical,0.7643873968458247,510,0.7643873968458247,False,False,False
id_20,categorical,0.7644912565900137,371,0.7644912565900137,False,False,False
id_21,categorical,0.9913028753344396,430,0.9913028753344396,False,False,False
id_22,categorical,0.991284812770233,22,0.991284812770233,False,False,False
id_23,categorical,0.991284812770233,3,0.991284812770233,False,False,False
id_24,categorical,0.9920231200821846,12,0.9920231200821846,False,False,False
