feature,feature_type,n_missing,missing_fraction,n_unique,variance,most_frequent_fraction,is_constant,is_near_zero_variance,is_likely_identifier,is_duplicate,duplicate_of,missingness_class_0,missingness_class_1,n_invalid_or_infinite
C1,numeric,0,0.0,1657,17840.68256932535,0.5364429166525553,False,False,False,False,,0.0,0.0,0
C2,numeric,0,0.0,1216,23922.46838441554,0.5355454329935313,False,False,False,False,,0.0,0.0,0
C3,numeric,0,0.0,27,0.022660973435788895,0.9958868154570393,False,False,False,False,,0.0,0.0,0
C4,numeric,0,0.0,1260,4740.110245952127,0.7652030345107868,False,False,False,False,,0.0,0.0,0
C5,numeric,0,0.0,319,664.968122021939,0.6306685406577032,False,False,False,False,,0.0,0.0,0
C6,numeric,0,0.0,1328,5113.460908041858,0.5783723371829174,False,False,False,False,,0.0,0.0,0
C7,numeric,0,0.0,1103,3810.2599993927934,0.8858705591492533,False,False,False,False,,0.0,0.0,0
C8,numeric,0,0.0,1253,9097.07231134025,0.7580638060080604,False,False,False,False,,0.0,0.0,0
C9,numeric,0,0.0,205,278.05218016414005,0.3876756866596674,False,False,False,False,,0.0,0.0,0
C10,numeric,0,0.0,1231,9135.812238776149,0.7678429911606326,False,False,False,False,,0.0,0.0,0
C11,numeric,0,0.0,1476,8899.335956299661,0.6598909472686016,False,False,False,False,,0.0,0.0,0
C12,numeric,0,0.0,1199,7511.033285944964,0.8283926575676499,False,False,False,False,,0.0,0.0,0
C13,numeric,0,0.0,1597,16735.26297843157,0.33755037762048296,False,False,False,False,,0.0,0.0,0
C14,numeric,0,0.0,1108,2454.6339386159366,0.5421969722626748,False,False,False,False,,0.0,0.0,0
D1,numeric,1269,0.0021488806854743116,641,24856.79747791918,0.47538399140633086,False,False,False,False,,0.0021460771359433704,0.0022262014228330834,0
D2,numeric,280797,0.4754919226470688,641,31440.915960155136,0.04882757641012065,False,False,False,False,,0.47028393846391414,0.6191259739631225,0
D3,numeric,262878,0.44514850814508755,649,3891.8534604210486,0.22307743955661627,False,False,False,False,,0.44190939448337097,0.5344819242123603,0
D4,numeric,168922,0.2860466691502693,808,36517.97685218723,0.3950756371881656,False,False,False,False,,0.2857213047727843,0.2950200842084886,0
D5,numeric,309841,0.524674027161581,688,7921.025692502109,0.2329078479082576,False,False,False,False,,0.5265311637423514,0.47345496781687074,0
D6,numeric,517353,0.8760676668811597,829,20640.85424108525,0.6255482531050597,False,False,False,False,,0.8851173147889808,0.6264821177950927,0
D7,numeric,551623,0.9340992989467267,597,9948.718621653252,0.5430788601382429,False,False,False,False,,0.9418699122793164,0.7197889948216619,0
D8,numeric,515614,0.8731229044603245,12353,53668.13474920397,0.01803112404238849,False,False,False,False,,0.8822570484508061,0.6212069883366403,0
D9,numeric,515614,0.8731229044603245,24,0.10041265915663766,0.07191095213944425,False,False,False,False,,0.8822570484508061,0.6212069883366403,0
D10,numeric,76022,0.1287330240119213,818,33348.32023201997,0.43133573558165117,False,False,False,False,,0.12658170096354127,0.18806562454629047,0
D11,numeric,279287,0.47293494090154775,676,34611.8572059448,0.36073869167526096,False,False,False,False,,0.4645388390828196,0.7044959589604607,0
D12,numeric,525823,0.8904104717715988,635,15444.16586057872,0.6606610318772502,False,False,False,False,,0.8997695994047838,0.6322895997677007,0
D13,numeric,528588,0.8950926270870728,577,4571.710471439962,0.7883522727272727,False,False,False,False,,0.9032861477125765,0.6691187146106568,0
D14,numeric,528353,0.8946946862193924,802,18581.084103699413,0.7279013298599386,False,False,False,False,,0.9035335695246518,0.6509219377631515,0
D15,numeric,89113,0.1509008703898127,859,41098.09863459771,0.3475002343312187,False,False,False,False,,0.14886896646118372,0.20693994095726662,0
M1,boolean,271100,0.4590713584177194,2,7.82560784720692e-05,0.9999217380415728,False,True,False,False,,0.4505867055522507,0.6930745777476649,0
M2,boolean,271100,0.4590713584177194,2,0.09503888072146126,0.8936513899323817,False,False,False,False,,0.4505867055522507,0.6930745777476649,0
M3,boolean,271100,0.4590713584177194,2,0.16703437866988338,0.7880384422739795,False,False,False,False,,0.4505867055522507,0.6930745777476649,0
M4,categorical,281444,0.47658753005723575,3,,0.6354174754768745,False,False,False,False,,0.48469582032614056,0.2529642355901854,0
M5,boolean,350482,0.5934940901547736,2,0.24730612726204004,0.5519124544901649,False,False,False,False,,0.5920365271804267,0.6336930745777477,0
M6,boolean,169360,0.28678836319300977,2,0.24832005291467785,0.5409943492093642,False,False,False,False,,0.2761806495085782,0.5793447224507574,0
M7,boolean,346265,0.5863531682866528,2,0.11654788537328294,0.865311636475284,False,False,False,False,,0.5798075725112612,0.7668779944828922,0
M8,boolean,346252,0.5863311545365258,2,0.23163406814856918,0.6355244629290019,False,False,False,False,,0.5797847605711408,0.7668779944828922,0
M9,boolean,346252,0.5863311545365258,2,0.13313311294013566,0.8418587896253602,False,False,False,False,,0.5797847605711408,0.7668779944828922,0
V1,boolean,279287,0.47293494090154775,2,5.4615139805987504e-05,0.9999453820525425,False,True,False,False,,0.4645388390828196,0.7044959589604607,0
V2,numeric,279287,0.47293494090154775,9,0.05766380400170618,0.9602927521983724,False,False,False,False,,0.4645388390828196,0.7044959589604607,0
V3,numeric,279287,0.47293494090154775,10,0.10297027975042278,0.9335910015325154,False,False,False,False,,0.4645388390828196,0.7044959589604607,0
V4,numeric,279287,0.47293494090154775,7,0.19364689511828612,0.7919602381342509,False,False,False,False,,0.4645388390828196,0.7044959589604607,0
V5,numeric,279287,0.47293494090154775,7,0.2264831860046942,0.7803394666075508,False,False,False,False,,0.4645388390828196,0.7044959589604607,0
V6,numeric,279287,0.47293494090154775,10,0.057305144126326965,0.9594349291412452,False,False,False,False,,0.4645388390828196,0.7044959589604607,0
V7,numeric,279287,0.47293494090154775,10,0.09289012110841242,0.9364889655682034,False,False,False,False,,0.4645388390828196,0.7044959589604607,0
V8,numeric,279287,0.47293494090154775,9,0.03462180840286258,0.9749817672440105,False,False,False,False,,0.4645388390828196,0.7044959589604607,0
V9,numeric,279287,0.47293494090154775,9,0.05122922011419245,0.9626413239390463,False,False,False,False,,0.4645388390828196,0.7044959589604607,0
V10,numeric,279287,0.47293494090154775,5,0.2719852841111047,0.5470822771186141,False,False,False,False,,0.4645388390828196,0.7044959589604607,0
V11,numeric,279287,0.47293494090154775,6,0.3051797627538977,0.5450003694743505,False,False,False,False,,0.4645388390828196,0.7044959589604607,0
V12,numeric,76073,0.1288193856470349,4,0.26064394600262786,0.5462021859516742,False,False,False,False,,0.1266694391947736,0.18811402022939555,0
V13,numeric,76073,0.1288193856470349,7,0.2832209746318969,0.559110691259109,False,False,False,False,,0.1266694391947736,0.18811402022939555,0
V14,boolean,76073,0.1288193856470349,2,0.0004992975563866649,0.9995004538677894,False,True,False,False,,0.1266694391947736,0.18811402022939555,0
V15,numeric,76073,0.1288193856470349,8,0.1105042171889343,0.8787249716697086,False,False,False,False,,0.1266694391947736,0.18811402022939555,0
V16,numeric,76073,0.1288193856470349,15,0.11753998606306217,0.8786802652065147,False,False,False,False,,0.1266694391947736,0.18811402022939555,0
V17,numeric,76073,0.1288193856470349,16,0.1328285185830346,0.8704601072566365,False,False,False,False,,0.1266694391947736,0.18811402022939555,0
V18,numeric,76073,0.1288193856470349,16,0.13820795375475084,0.8703998507192882,False,False,False,False,,0.1266694391947736,0.18811402022939555,0
V19,numeric,76073,0.1288193856470349,8,0.1810603536388589,0.7885151039814021,False,False,False,False,,0.1266694391947736,0.18811402022939555,0
V20,numeric,76073,0.1288193856470349,15,0.21109482999839974,0.7812532193512898,False,False,False,False,,0.1266694391947736,0.18811402022939555,0
V21,numeric,76073,0.1288193856470349,6,0.11496145681125576,0.8712317796865494,False,False,False,False,,0.1266694391947736,0.18811402022939555,0
V22,numeric,76073,0.1288193856470349,9,0.12917897211006482,0.8711637481121238,False,False,False,False,,0.1266694391947736,0.18811402022939555,0
V23,numeric,76073,0.1288193856470349,14,0.06134568596789879,0.9694771481941504,False,False,False,False,,0.1266694391947736,0.18811402022939555,0
V24,numeric,76073,0.1288193856470349,14,0.09332110993788469,0.9494836403501099,False,False,False,False,,0.1266694391947736,0.18811402022939555,0
V25,numeric,76073,0.1288193856470349,7,0.034315680116145594,0.9665168028270035,False,False,False,False,,0.1266694391947736,0.18811402022939555,0
V26,numeric,76073,0.1288193856470349,13,0.04380738556644356,0.9623921456575446,False,False,False,False,,0.1266694391947736,0.18811402022939555,0
V27,numeric,76073,0.1288193856470349,4,0.0008177227485986788,0.9992399901257029,False,True,False,False,,0.1266694391947736,0.18811402022939555,0
V28,numeric,76073,0.1288193856470349,4,0.0009692488839227226,0.999234158847895,False,True,False,False,,0.1266694391947736,0.18811402022939555,0
V29,numeric,76073,0.1288193856470349,6,0.26076524185389865,0.6227940761992509,False,False,False,False,,0.1266694391947736,0.18811402022939555,0
V30,numeric,76073,0.1288193856470349,8,0.3072603603251662,0.620092250814921,False,False,False,False,,0.1266694391947736,0.18811402022939555,0
V31,numeric,76073,0.1288193856470349,8,0.1265885308124924,0.8611728254679114,False,False,False,False,,0.1266694391947736,0.18811402022939555,0
V32,numeric,76073,0.1288193856470349,15,0.1356284516371976,0.8611203439676403,False,False,False,False,,0.1266694391947736,0.18811402022939555,0
V33,numeric,76073,0.1288193856470349,7,0.11621297725061393,0.8703551442560942,False,False,False,False,,0.1266694391947736,0.18811402022939555,0
V34,numeric,76073,0.1288193856470349,13,0.1278412659908814,0.8630077342181326,False,False,False,False,,0.1266694391947736,0.18811402022939555,0
V35,numeric,168969,0.2861262573238053,4,0.26626635285721306,0.525147602657678,False,False,False,False,,0.28580377871014273,0.2950200842084886,0
V36,numeric,168969,0.2861262573238053,6,0.2905627371858013,0.5361469361032898,False,False,False,False,,0.28580377871014273,0.2950200842084886,0
V37,numeric,168969,0.2861262573238053,55,0.47688851287322587,0.9375123051633059,False,False,False,False,,0.28580377871014273,0.2950200842084886,0
V38,numeric,168969,0.2861262573238053,55,0.7377437435702722,0.9063550386530382,False,False,False,False,,0.28580377871014273,0.2950200842084886,0
V39,numeric,168969,0.2861262573238053,16,0.20426380438454775,0.8491902906034808,False,False,False,False,,0.28580377871014273,0.2950200842084886,0
V40,numeric,168969,0.2861262573238053,18,0.25581996596501233,0.8488178740947551,False,False,False,False,,0.28580377871014273,0.2950200842084886,0
V41,boolean,168969,0.2861262573238053,2,0.0007300684940433649,0.9992693994605891,False,True,False,False,,0.28580377871014273,0.2950200842084886,0
V42,numeric,168969,0.2861262573238053,9,0.14660926048773615,0.8502458660581491,False,False,False,False,,0.28580377871014273,0.2950200842084886,0
V43,numeric,168969,0.2861262573238053,9,0.18779986694327253,0.8498236358762818,False,False,False,False,,0.28580377871014273,0.2950200842084886,0
V44,numeric,168969,0.2861262573238053,49,0.4085041913905939,0.9432645983713301,False,False,False,False,,0.28580377871014273,0.2950200842084886,0
V45,numeric,168969,0.2861262573238053,49,0.5325694106665878,0.9180588797616535,False,False,False,False,,0.28580377871014273,0.2950200842084886,0
V46,numeric,168969,0.2861262573238053,7,0.027795208283902126,0.9778827291251059,False,False,False,False,,0.28580377871014273,0.2950200842084886,0
V47,numeric,168969,0.2861262573238053,9,0.05376005055867396,0.9642954567558015,False,False,False,False,,0.28580377871014273,0.2950200842084886,0
V48,numeric,168969,0.2861262573238053,6,0.258256056340922,0.6269999596746455,False,False,False,False,,0.28580377871014273,0.2950200842084886,0
V49,numeric,168969,0.2861262573238053,6,0.2944729857986926,0.6256621067388412,False,False,False,False,,0.28580377871014273,0.2950200842084886,0
V50,numeric,168969,0.2861262573238053,6,0.13987257918687476,0.8361153874436335,False,False,False,False,,0.28580377871014273,0.2950200842084886,0
V51,numeric,168969,0.2861262573238053,7,0.16313428554423512,0.838582350303982,False,False,False,False,,0.28580377871014273,0.2950200842084886,0
V52,numeric,168969,0.2861262573238053,9,0.19272243768506933,0.8331621482502354,False,False,False,False,,0.28580377871014273,0.2950200842084886,0
V53,numeric,77096,0.13055169844549055,6,0.2617043941371161,0.5610251556158024,False,False,False,False,,0.1273730998092571,0.21821613512074722,0
V54,numeric,77096,0.13055169844549055,7,0.28583432519729174,0.5750091538707239,False,False,False,False,,0.1273730998092571,0.21821613512074722,0
V55,numeric,77096,0.13055169844549055,18,0.15316556911519905,0.952857565771535,False,False,False,False,,0.1273730998092571,0.21821613512074722,0
V56,numeric,77096,0.13055169844549055,52,0.43709089690581854,0.9206456789834919,False,False,False,False,,0.1273730998092571,0.21821613512074722,0
V57,numeric,77096,0.13055169844549055,7,0.12186684896251265,0.8760585380294638,False,False,False,False,,0.1273730998092571,0.21821613512074722,0
V58,numeric,77096,0.13055169844549055,11,0.1390598276188425,0.8756553781911951,False,False,False,False,,0.1273730998092571,0.21821613512074722,0
V59,numeric,77096,0.13055169844549055,17,0.1438618737436737,0.873777860876746,False,False,False,False,,0.1273730998092571,0.21821613512074722,0
V60,numeric,77096,0.13055169844549055,17,0.17491600139602545,0.8732578431143416,False,False,False,False,,0.1273730998092571,0.21821613512074722,0
V61,numeric,77096,0.13055169844549055,7,0.19063434073561475,0.7871978248845054,False,False,False,False,,0.1273730998092571,0.21821613512074722,0
V62,numeric,77096,0.13055169844549055,11,0.2340657369742672,0.7761566986857379,False,False,False,False,,0.1273730998092571,0.21821613512074722,0
V63,numeric,77096,0.13055169844549055,8,0.1262114401483354,0.8744108412991485,False,False,False,False,,0.1273730998092571,0.21821613512074722,0
V64,numeric,77096,0.13055169844549055,8,0.16496373117044777,0.8738284993105383,False,False,False,False,,0.1273730998092571,0.21821613512074722,0
V65,boolean,77096,0.13055169844549055,2,0.00033682747514292516,0.999663059652075,False,True,False,False,,0.1273730998092571,0.21821613512074722,0
V66,numeric,77096,0.13055169844549055,8,0.046757643104037294,0.9558569191576881,False,False,False,False,,0.1273730998092571,0.21821613512074722,0
V67,numeric,77096,0.13055169844549055,9,0.06047250876207604,0.9474392533557701,False,False,False,False,,0.1273730998092571,0.21821613512074722,0
V68,numeric,77096,0.13055169844549055,3,0.0005645296158965902,0.9994819298696644,False,True,False,False,,0.1273730998092571,0.21821613512074722,0
V69,numeric,77096,0.13055169844549055,6,0.26388310250936414,0.6215595079502341,False,False,False,False,,0.1273730998092571,0.21821613512074722,0
V70,numeric,77096,0.13055169844549055,7,0.30746938419749703,0.6189594191382117,False,False,False,False,,0.1273730998092571,0.21821613512074722,0
V71,numeric,77096,0.13055169844549055,7,0.13271676324407014,0.8644000124648452,False,False,False,False,,0.1273730998092571,0.21821613512074722,0
V72,numeric,77096,0.13055169844549055,11,0.15148591414616744,0.8639910097303698,False,False,False,False,,0.1273730998092571,0.21821613512074722,0
V73,numeric,77096,0.13055169844549055,8,0.13476094179214196,0.8662794774113632,False,False,False,False,,0.1273730998092571,0.21821613512074722,0
V74,numeric,77096,0.13055169844549055,9,0.1546645354410926,0.8586681312859825,False,False,False,False,,0.1273730998092571,0.21821613512074722,0
V75,numeric,89164,0.15098723202492634,5,0.26452261310754627,0.5287089928516722,False,False,False,False,,0.14895845945704073,0.20693994095726662,0
V76,numeric,89164,0.15098723202492634,7,0.2896920136994659,0.5450859235384222,False,False,False,False,,0.14895845945704073,0.20693994095726662,0
V77,numeric,89164,0.15098723202492634,31,0.28404373012191964,0.9462638817972938,False,False,False,False,,0.14895845945704073,0.20693994095726662,0
V78,numeric,89164,0.15098723202492634,32,0.6107017412448928,0.9133165528465662,False,False,False,False,,0.14895845945704073,0.20693994095726662,0
V79,numeric,89164,0.15098723202492634,8,0.1443268797219441,0.8712064398774573,False,False,False,False,,0.14895845945704073,0.20693994095726662,0
V80,numeric,89164,0.15098723202492634,20,0.16804414194495262,0.8670778018892009,False,False,False,False,,0.14895845945704073,0.20693994095726662,0
V81,numeric,89164,0.15098723202492634,20,0.20457325630938206,0.8669202355118714,False,False,False,False,,0.14895845945704073,0.20693994095726662,0
V82,numeric,89164,0.15098723202492634,8,0.1785304253255997,0.8030141051825377,False,False,False,False,,0.14895845945704073,0.20693994095726662,0
V83,numeric,89164,0.15098723202492634,8,0.221611924814623,0.7910610001276487,False,False,False,False,,0.14895845945704073,0.20693994095726662,0
V84,numeric,89164,0.15098723202492634,8,0.13095348125419332,0.868102980597396,False,False,False,False,,0.14895845945704073,0.20693994095726662,0
V85,numeric,89164,0.15098723202492634,8,0.17593405618592778,0.8678177655093183,False,False,False,False,,0.14895845945704073,0.20693994095726662,0
V86,numeric,89164,0.15098723202492634,31,0.17623764052735497,0.9512042858054633,False,False,False,False,,0.14895845945704073,0.20693994095726662,0
V87,numeric,89164,0.15098723202492634,31,0.26140835060855433,0.9248707556803676,False,False,False,False,,0.14895845945704073,0.20693994095726662,0
V88,boolean,89164,0.15098723202492634,2,0.0007533582972330304,0.9992460748021444,False,True,False,False,,0.14895845945704073,0.20693994095726662,0
V89,numeric,89164,0.15098723202492634,3,0.0010203789845985836,0.9991583163135053,False,True,False,False,,0.14895845945704073,0.20693994095726662,0
V90,numeric,89164,0.15098723202492634,6,0.26641380516828655,0.6099554027316824,False,False,False,False,,0.14895845945704073,0.20693994095726662,0
V91,numeric,89164,0.15098723202492634,7,0.3156919668853912,0.6085951461577738,False,False,False,False,,0.14895845945704073,0.20693994095726662,0
V92,numeric,89164,0.15098723202492634,8,0.14113688938263788,0.8550449163900945,False,False,False,False,,0.14895845945704073,0.20693994095726662,0
V93,numeric,89164,0.15098723202492634,8,0.16185619680150076,0.8550349438345672,False,False,False,False,,0.14895845945704073,0.20693994095726662,0
V94,numeric,89164,0.15098723202492634,3,0.11825224257239489,0.863001021189686,False,False,False,False,,0.14895845945704073,0.20693994095726662,0
V95,numeric,314,0.0005317167338368274,881,442.44193120610504,0.8649940870107382,False,False,False,False,,0.0005211650935201807,0.0008227266127861395,0
V96,numeric,314,0.0005317167338368274,1410,1619.2165718233662,0.6210807385645498,False,False,False,False,,0.0005211650935201807,0.0008227266127861395,0
V97,numeric,314,0.0005317167338368274,976,767.3148612250301,0.7695577626197423,False,False,False,False,,0.0005211650935201807,0.0008227266127861395,0
V98,numeric,314,0.0005317167338368274,13,0.0812220570229967,0.946454408989099,False,False,False,False,,0.0005211650935201807,0.0008227266127861395,0
V99,numeric,314,0.0005317167338368274,89,7.4122902647873685,0.6840871123942355,False,False,False,False,,0.0005211650935201807,0.0008227266127861395,0
V100,numeric,314,0.0005317167338368274,29,0.8971418862304741,0.8412421682541942,False,False,False,False,,0.0005211650935201807,0.0008227266127861395,0
V101,numeric,314,0.0005317167338368274,870,423.64223548967215,0.9423746158251246,False,False,False,False,,0.0005211650935201807,0.0008227266127861395,0
V102,numeric,314,0.0005317167338368274,1285,1290.8539215367548,0.908060641178125,False,False,False,False,,0.0005211650935201807,0.0008227266127861395,0
V103,numeric,314,0.0005317167338368274,928,659.7522069365629,0.9280224863018572,False,False,False,False,,0.0005211650935201807,0.0008227266127861395,0
V104,numeric,314,0.0005317167338368274,16,0.4208344648170764,0.9547647850145538,False,False,False,False,,0.0005211650935201807,0.0008227266127861395,0
V105,numeric,314,0.0005317167338368274,100,11.38352679876696,0.928034346165706,False,False,False,False,,0.0005211650935201807,0.0008227266127861395,0
V106,numeric,314,0.0005317167338368274,56,3.3330542435694355,0.9455259510763674,False,False,False,False,,0.0005211650935201807,0.0008227266127861395,0
V107,boolean,314,0.0005317167338368274,2,0.00042000219551474816,0.999579821966501,False,True,False,False,,0.0005211650935201807,0.0008227266127861395,0
V108,numeric,314,0.0005317167338368274,8,0.0065846710573049085,0.9949443094678987,False,True,False,False,,0.0005211650935201807,0.0008227266127861395,0
V109,numeric,314,0.0005317167338368274,8,0.016325013249346616,0.9855580743647349,False,False,False,False,,0.0005211650935201807,0.0008227266127861395,0
V110,numeric,314,0.0005317167338368274,8,0.009465282532781484,0.9920962478779315,False,True,False,False,,0.0005211650935201807,0.0008227266127861395,0
V111,numeric,314,0.0005317167338368274,10,0.00501693682610946,0.9970740021618838,False,True,False,False,,0.0005211650935201807,0.0008227266127861395,0
V112,numeric,314,0.0005317167338368274,10,0.007160101699074179,0.9949290610715218,False,True,False,False,,0.0005211650935201807,0.0008227266127861395,0
V113,numeric,314,0.0005317167338368274,10,0.0055881117385578995,0.9965132000284637,False,True,False,False,,0.0005211650935201807,0.0008227266127861395,0
V114,numeric,314,0.0005317167338368274,7,0.012139390647097672,0.9906171534293643,False,False,False,False,,0.0005211650935201807,0.0008227266127861395,0
V115,numeric,314,0.0005317167338368274,7,0.03624631242918911,0.9693253092883065,False,False,False,False,,0.0005211650935201807,0.0008227266127861395,0
V116,numeric,314,0.0005317167338368274,7,0.018706102507837916,0.9846939985700393,False,False,False,False,,0.0005211650935201807,0.0008227266127861395,0
V117,numeric,314,0.0005317167338368274,4,0.0012417461006529393,0.9987682684259928,False,True,False,False,,0.0005211650935201807,0.0008227266127861395,0
V118,numeric,314,0.0005317167338368274,4,0.001681930805819299,0.9983260649310604,False,True,False,False,,0.0005211650935201807,0.0008227266127861395,0
V119,numeric,314,0.0005317167338368274,4,0.0013243876998903234,0.9986852493790515,False,True,False,False,,0.0005211650935201807,0.0008227266127861395,0
V120,numeric,314,0.0005317167338368274,4,0.00173755583284609,0.9982921796057781,False,True,False,False,,0.0005211650935201807,0.0008227266127861395,0
V121,numeric,314,0.0005317167338368274,4,0.00450202303867213,0.9955406911928651,False,True,False,False,,0.0005211650935201807,0.0008227266127861395,0
V122,numeric,314,0.0005317167338368274,4,0.002365495400871419,0.9976619125555296,False,True,False,False,,0.0005211650935201807,0.0008227266127861395,0
V123,numeric,314,0.0005317167338368274,14,0.052045207584645196,0.9737151531786129,False,False,False,False,,0.0005211650935201807,0.0008227266127861395,0
V124,numeric,314,0.0005317167338368274,14,0.13995328610593358,0.9251456221854002,False,False,False,False,,0.0005211650935201807,0.0008227266127861395,0
V125,numeric,314,0.0005317167338368274,14,0.07842070998445025,0.958234642323449,False,False,False,False,,0.0005211650935201807,0.0008227266127861395,0
V126,numeric,314,0.0005317167338368274,10299,5508182.194826693,0.8649940870107382,False,False,False,False,,0.0005211650935201807,0.0008227266127861395,0
V127,numeric,314,0.0005317167338368274,24414,17966297.503983818,0.6210807385645498,False,False,False,False,,0.0005211650935201807,0.0008227266127861395,0
V128,numeric,314,0.0005317167338368274,14507,9061657.887941178,0.7695577626197423,False,False,False,False,,0.0005211650935201807,0.0008227266127861395,0
V129,numeric,314,0.0005317167338368274,1968,12957.912767091375,0.946454408989099,False,False,False,False,,0.0005211650935201807,0.0008227266127861395,0
V130,numeric,314,0.0005317167338368274,12332,99831.02795631133,0.6840871123942355,False,False,False,False,,0.0005211650935201807,0.0008227266127861395,0
V131,numeric,314,0.0005317167338368274,4444,25972.950978379686,0.8412421682541942,False,False,False,False,,0.0005211650935201807,0.0008227266127861395,0
V132,numeric,314,0.0005317167338368274,6560,5135237.036754637,0.9423746158251246,False,False,False,False,,0.0005211650935201807,0.0008227266127861395,0
V133,numeric,314,0.0005317167338368274,9949,14412020.902499631,0.908060641178125,False,False,False,False,,0.0005211650935201807,0.0008227266127861395,0
V134,numeric,314,0.0005317167338368274,8178,7689455.887478123,0.9280224863018572,False,False,False,False,,0.0005211650935201807,0.0008227266127861395,0
V135,numeric,314,0.0005317167338368274,3724,86346.39040150901,0.9547647850145538,False,False,False,False,,0.0005211650935201807,0.0008227266127861395,0
V136,numeric,314,0.0005317167338368274,4852,204130.84057823775,0.928034346165706,False,False,False,False,,0.0005211650935201807,0.0008227266127861395,0
V137,numeric,314,0.0005317167338368274,4252,121335.67951126948,0.9455259510763674,False,False,False,False,,0.0005211650935201807,0.0008227266127861395,0
V138,numeric,508595,0.8612371727571375,23,0.18360335011815246,0.9837085850265422,False,False,False,False,,0.8626107037132574,0.8233557566665054,0
V139,numeric,508595,0.8612371727571375,34,1.7793529023959949,0.5788028555738605,False,False,False,False,,0.8626107037132574,0.8233557566665054,0
V140,numeric,508595,0.8612371727571375,34,2.1545828222386856,0.5686497040698029,False,False,False,False,,0.8626107037132574,0.8233557566665054,0
V141,numeric,508595,0.8612371727571375,6,0.046282302642647426,0.9666361583989261,False,False,False,False,,0.8626107037132574,0.8233557566665054,0
V142,numeric,508595,0.8612371727571375,10,0.09852579302627644,0.965916163280249,False,False,False,False,,0.8626107037132574,0.8233557566665054,0
V143,numeric,508589,0.8612270125647712,870,3054.5015549134414,0.7793925638491294,False,False,False,False,,0.8626019298901342,0.8233073609834003,0
V144,numeric,508589,0.8612270125647712,63,109.94850141354053,0.7619065051067101,False,False,False,False,,0.8626019298901342,0.8233073609834003,0
V145,numeric,508589,0.8612270125647712,260,4143.736334058279,0.7472880135690839,False,False,False,False,,0.8626019298901342,0.8233073609834003,0
V146,numeric,508595,0.8612371727571375,25,0.46557082029270935,0.9118066996155958,False,False,False,False,,0.8626107037132574,0.8233557566665054,0
V147,numeric,508595,0.8612371727571375,27,0.5632457543216706,0.9095246811886021,False,False,False,False,,0.8626107037132574,0.8233557566665054,0
V148,numeric,508595,0.8612371727571375,21,0.3380555333512076,0.7157239611934835,False,False,False,False,,0.8626107037132574,0.8233557566665054,0
V149,numeric,508595,0.8612371727571375,21,0.3946238603413649,0.7123070352065409,False,False,False,False,,0.8626107037132574,0.8233557566665054,0
V150,numeric,508589,0.8612270125647712,1996,688197.8703141103,0.8243828629302876,False,False,False,False,,0.8626019298901342,0.8233073609834003,0
V151,numeric,508589,0.8612270125647712,56,232.02369577368174,0.8553647911556906,False,False,False,False,,0.8626019298901342,0.8233073609834003,0
V152,numeric,508589,0.8612270125647712,39,464.5958838088704,0.8305450818171835,False,False,False,False,,0.8626019298901342,0.8233073609834003,0
V153,numeric,508595,0.8612371727571375,19,0.2837147712680825,0.7217401915919214,False,False,False,False,,0.8626107037132574,0.8233557566665054,0
V154,numeric,508595,0.8612371727571375,19,0.2991072887107966,0.7203978278113369,False,False,False,False,,0.8626107037132574,0.8233557566665054,0
