feature_a,feature_b,encoded_feature_a,encoded_feature_b,correlation
ProductCD,V177,ProductCD__W,V177,-1.0
ProductCD,V178,ProductCD__W,V178,-1.0
ProductCD,V179,ProductCD__W,V179,-1.0
ProductCD,V186,ProductCD__W,V186,-1.0
ProductCD,V187,ProductCD__W,V187,-1.0
ProductCD,V188,ProductCD__W,V188,-1.0
ProductCD,V189,ProductCD__W,V189,-1.0
ProductCD,V190,ProductCD__W,V190,-1.0
ProductCD,V191,ProductCD__W,V191,-1.0
ProductCD,V192,ProductCD__W,V192,-1.0
ProductCD,V193,ProductCD__W,V193,-1.0
ProductCD,V194,ProductCD__W,V194,-1.0
ProductCD,V195,ProductCD__W,V195,-1.0
ProductCD,V196,ProductCD__W,V196,-1.0
ProductCD,V197,ProductCD__W,V197,-1.0
ProductCD,V198,ProductCD__W,V198,-1.0
ProductCD,V199,ProductCD__W,V199,-1.0
ProductCD,V200,ProductCD__W,V200,-1.0
ProductCD,V201,ProductCD__W,V201,-1.0
ProductCD,V211,ProductCD__W,V211,-1.0
ProductCD,V212,ProductCD__W,V212,-1.0
ProductCD,V213,ProductCD__W,V213,-1.0
ProductCD,V226,ProductCD__W,V226,-1.0
ProductCD,V231,ProductCD__W,V231,-1.0
ProductCD,V232,ProductCD__W,V232,-1.0
ProductCD,V233,ProductCD__W,V233,-1.0
ProductCD,V240,ProductCD__W,V240,-1.0
ProductCD,V241,ProductCD__W,V241,-1.0
ProductCD,V242,ProductCD__W,V242,-1.0
ProductCD,V243,ProductCD__W,V243,-1.0
ProductCD,V244,ProductCD__W,V244,-1.0
ProductCD,V245,ProductCD__W,V245,-1.0
ProductCD,V246,ProductCD__W,V246,-1.0
ProductCD,V247,ProductCD__W,V247,-1.0
ProductCD,V248,ProductCD__W,V248,-1.0
ProductCD,V249,ProductCD__W,V249,-1.0
ProductCD,V250,ProductCD__W,V250,-1.0
ProductCD,V251,ProductCD__W,V251,-1.0
ProductCD,V252,ProductCD__W,V252,-1.0
ProductCD,V253,ProductCD__W,V253,-1.0
ProductCD,V254,ProductCD__W,V254,-1.0
ProductCD,V255,ProductCD__W,V255,-1.0
ProductCD,V256,ProductCD__W,V256,-1.0
ProductCD,V257,ProductCD__W,V257,-1.0
ProductCD,V258,ProductCD__W,V258,-1.0
ProductCD,V259,ProductCD__W,V259,-1.0
ProductCD,V260,ProductCD__W,V260,-1.0
ProductCD,V261,ProductCD__W,V261,-1.0
ProductCD,V262,ProductCD__W,V262,-1.0
ProductCD,V269,ProductCD__W,V269,-1.0
ProductCD,V273,ProductCD__W,V273,-1.0
ProductCD,V274,ProductCD__W,V274,-1.0
ProductCD,V275,ProductCD__W,V275,-1.0
ProductCD,V302,ProductCD__W,V302,-1.0
ProductCD,V303,ProductCD__W,V303,-1.0
ProductCD,V304,ProductCD__W,V304,-1.0
ProductCD,id_12,ProductCD__W,id_12__NotFound,-1.0
ProductCD,id_15,ProductCD__W,id_15____missing__,1.0
ProductCD,id_16,ProductCD__W,id_16____missing__,1.0
ProductCD,id_19,ProductCD__W,id_19____missing__,1.0
ProductCD,id_20,ProductCD__W,id_20____missing__,1.0
ProductCD,id_28,ProductCD__W,id_28____missing__,1.0
ProductCD,id_29,ProductCD__W,id_29____missing__,1.0
ProductCD,id_31,ProductCD__W,id_31____missing__,1.0
ProductCD,id_36,ProductCD__W,id_36,-1.0
ProductCD,id_37,ProductCD__W,id_37,-1.0
ProductCD,id_38,ProductCD__W,id_38,-1.0
ProductCD,DeviceType,ProductCD__W,DeviceType____missing__,1.0
ProductCD,has_identity,ProductCD__W,has_identity,-1.0
card1,addr1,card1__11839,addr1__226.0,1.0
card1,card2,card1__12308,card2__360.0,1.0
card1,P_emaildomain,card1__12695,P_emaildomain__mail.com,1.0
card1,card3,card1__16496,card3__117.0,1.0
card1,card5,card1__16496,card5__134.0,1.0
card1,R_emaildomain,card1__16496,R_emaildomain__gmail.com,1.0
card1,D7,card1__16496,D7,1.0000000000000002
card1,V37,card1__16496,V37,1.0000000000000002
card1,V46,card1__16496,V46,1.0000000000000002
card1,V55,card1__16496,V55,1.0000000000000002
card1,V56,card1__16496,V56,1.0000000000000002
card1,V66,card1__16496,V66,1.0000000000000002
card1,V67,card1__16496,V67,1.0000000000000002
card1,V77,card1__16496,V77,1.0000000000000002
card1,V78,card1__16496,V78,1.0000000000000002
card1,V167,card1__16496,V167,1.0000000000000002
card1,V168,card1__16496,V168,1.0000000000000002
card1,V169,card1__16496,V169,1.0000000000000002
card1,V170,card1__16496,V170,1.0000000000000002
card1,V171,card1__16496,V171,1.0000000000000002
card1,V172,card1__16496,V172,1.0000000000000002
card1,V174,card1__16496,V174,1.0000000000000002
card1,V175,card1__16496,V175,1.0000000000000002
card1,V176,card1__16496,V176,1.0000000000000002
card1,V202,card1__16496,V202,1.0000000000000002
card1,V203,card1__16496,V203,1.0000000000000002
card1,V204,card1__16496,V204,1.0000000000000002
card1,V205,card1__16496,V205,1.0000000000000002
card1,V206,card1__16496,V206,1.0000000000000002
card1,V207,card1__16496,V207,1.0000000000000002
card1,V208,card1__16496,V208,1.0000000000000002
card1,V209,card1__16496,V209,1.0000000000000002
card1,V210,card1__16496,V210,1.0000000000000002
card1,V214,card1__16496,V214,1.0000000000000002
card1,V215,card1__16496,V215,1.0000000000000002
card1,V216,card1__16496,V216,1.0000000000000002
card1,V217,card1__16496,V217,1.0000000000000002
card1,V218,card1__16496,V218,1.0000000000000002
card1,V219,card1__16496,V219,1.0000000000000002
card1,V220,card1__16496,V220,1.0000000000000002
card1,V221,card1__16496,V221,1.0000000000000002
card1,V222,card1__16496,V222,1.0000000000000002
card1,V223,card1__16496,V223,1.0000000000000002
card1,V224,card1__16496,V224,1.0000000000000002
card1,V225,card1__16496,V225,1.0000000000000002
card1,V227,card1__16496,V227,1.0000000000000002
card1,V228,card1__16496,V228,1.0000000000000002
card1,V229,card1__16496,V229,1.0000000000000002
card1,V230,card1__16496,V230,1.0000000000000002
card1,V263,card1__16496,V263,1.0000000000000002
card1,V264,card1__16496,V264,1.0000000000000002
card1,V265,card1__16496,V265,1.0000000000000002
card1,V266,card1__16496,V266,1.0000000000000002
card1,V267,card1__16496,V267,1.0000000000000002
card1,V268,card1__16496,V268,1.0000000000000002
card1,V270,card1__16496,V270,1.0000000000000002
card1,V271,card1__16496,V271,1.0000000000000002
card1,V272,card1__16496,V272,1.0000000000000002
card1,V276,card1__16496,V276,1.0000000000000002
card1,V277,card1__16496,V277,1.0000000000000002
card1,V278,card1__16496,V278,1.0000000000000002
card1,V281,card1__16496,V281,1.0000000000000002
card1,V284,card1__16496,V284,1.0000000000000002
card1,V286,card1__16496,V286,1.0000000000000002
card1,V288,card1__16496,V288,1.0000000000000002
card1,V289,card1__16496,V289,1.0000000000000002
card1,V290,card1__16496,V290,1.0000000000000002
card1,V292,card1__16496,V292,1.0000000000000002
card1,V297,card1__16496,V297,1.0000000000000002
card1,V299,card1__16496,V299,1.0000000000000002
card1,V300,card1__16496,V300,1.0000000000000002
card1,V301,card1__16496,V301,1.0000000000000002
card1,V306,card1__16496,V306,0.9560627702217389
card1,V309,card1__16496,V309,1.0000000000000002
card1,V311,card1__16496,V311,1.0000000000000002
card1,V313,card1__16496,V313,1.0000000000000002
card1,V315,card1__16496,V315,1.0000000000000002
card1,V319,card1__16496,V319,1.0000000000000002
card1,V321,card1__16496,V321,1.0000000000000002
card1,id_17,card1__16496,id_17__121.0,1.0
card1,id_19,card1__16496,id_19__410.0,1.0
card1,id_20,card1__16496,id_20__142.0,1.0
card1,DeviceInfo,card1__16496,DeviceInfo__Windows,1.0
card1,V62,card1__17399,V62,1.0000000000000002
card1,V314,card1__17399,V314,0.9657417719632398
card1,V95,card1__18132,V95,1.0
card1,V96,card1__18132,V96,0.9889589636669703
card1,V97,card1__18132,V97,0.9974457174120673
card1,V100,card1__18132,V100,0.9692476431690821
card1,V101,card1__18132,V101,1.0
card1,V102,card1__18132,V102,0.9996543867521591
card1,V103,card1__18132,V103,0.9991323401816897
card1,V126,card1__18132,V126,1.0000000000000002
card1,V127,card1__18132,V127,0.957326001443682
card1,V128,card1__18132,V128,0.9938511339125281
card1,V131,card1__18132,V131,0.9688035236479967
card1,V132,card1__18132,V132,1.0000000000000002
card1,V133,card1__18132,V133,0.9988097127048151
card1,V134,card1__18132,V134,0.9962345795598618
card1,V280,card1__18132,V280,0.9922294129960643
card1,V293,card1__18132,V293,1.0
card1,V294,card1__18132,V294,0.9996543867521591
card1,V295,card1__18132,V295,0.9991323401816897
card1,V308,card1__18132,V308,0.9791404286159807
card1,V316,card1__18132,V316,1.0000000000000002
card1,V317,card1__18132,V317,0.9988097127048151
card1,V318,card1__18132,V318,0.9962345795598618
card1,V45,card1__3786,V45,1.0000000000000002
card1,id_06,card1__4461,id_06,-1.0000000000000002
card1,id_14,card1__4497,id_14__-480.0,1.0
card1,id_30,card1__4497,id_30__Android 7.0,1.0
card1,id_31,card1__4497,id_31__samsung browser 6.2,1.0
card1,id_32,card1__4497,id_32__32.0,1.0
card1,id_33,card1__4497,id_33__2220x1080,1.0
card1,DeviceType,card1__4497,DeviceType__mobile,1.0
card2,card3,card2__352.0,card3__117.0,1.0
card2,card5,card2__352.0,card5__134.0,1.0
card2,R_emaildomain,card2__352.0,R_emaildomain__gmail.com,1.0
card2,D7,card2__352.0,D7,1.0000000000000002
card2,V37,card2__352.0,V37,1.0000000000000002
card2,V46,card2__352.0,V46,1.0000000000000002
card2,V55,card2__352.0,V55,1.0000000000000002
card2,V56,card2__352.0,V56,1.0000000000000002
card2,V66,card2__352.0,V66,1.0000000000000002
card2,V67,card2__352.0,V67,1.0000000000000002
card2,V77,card2__352.0,V77,1.0000000000000002
card2,V78,card2__352.0,V78,1.0000000000000002
card2,V167,card2__352.0,V167,1.0000000000000002
card2,V168,card2__352.0,V168,1.0000000000000002
card2,V169,card2__352.0,V169,1.0000000000000002
card2,V170,card2__352.0,V170,1.0000000000000002
card2,V171,card2__352.0,V171,1.0000000000000002
card2,V172,card2__352.0,V172,1.0000000000000002
card2,V174,card2__352.0,V174,1.0000000000000002
card2,V175,card2__352.0,V175,1.0000000000000002
card2,V176,card2__352.0,V176,1.0000000000000002
card2,V202,card2__352.0,V202,1.0000000000000002
card2,V203,card2__352.0,V203,1.0000000000000002
card2,V204,card2__352.0,V204,1.0000000000000002
card2,V205,card2__352.0,V205,1.0000000000000002
card2,V206,card2__352.0,V206,1.0000000000000002
card2,V207,card2__352.0,V207,1.0000000000000002
card2,V208,card2__352.0,V208,1.0000000000000002
card2,V209,card2__352.0,V209,1.0000000000000002
card2,V210,card2__352.0,V210,1.0000000000000002
card2,V214,card2__352.0,V214,1.0000000000000002
card2,V215,card2__352.0,V215,1.0000000000000002
card2,V216,card2__352.0,V216,1.0000000000000002
card2,V217,card2__352.0,V217,1.0000000000000002
card2,V218,card2__352.0,V218,1.0000000000000002
card2,V219,card2__352.0,V219,1.0000000000000002
card2,V220,card2__352.0,V220,1.0000000000000002
card2,V221,card2__352.0,V221,1.0000000000000002
card2,V222,card2__352.0,V222,1.0000000000000002
card2,V223,card2__352.0,V223,1.0000000000000002
card2,V224,card2__352.0,V224,1.0000000000000002
card2,V225,card2__352.0,V225,1.0000000000000002
card2,V227,card2__352.0,V227,1.0000000000000002
card2,V228,card2__352.0,V228,1.0000000000000002
card2,V229,card2__352.0,V229,1.0000000000000002
card2,V230,card2__352.0,V230,1.0000000000000002
card2,V263,card2__352.0,V263,1.0000000000000002
card2,V264,card2__352.0,V264,1.0000000000000002
card2,V265,card2__352.0,V265,1.0000000000000002
card2,V266,card2__352.0,V266,1.0000000000000002
card2,V267,card2__352.0,V267,1.0000000000000002
card2,V268,card2__352.0,V268,1.0000000000000002
card2,V270,card2__352.0,V270,1.0000000000000002
card2,V271,card2__352.0,V271,1.0000000000000002
card2,V272,card2__352.0,V272,1.0000000000000002
card2,V276,card2__352.0,V276,1.0000000000000002
card2,V277,card2__352.0,V277,1.0000000000000002
card2,V278,card2__352.0,V278,1.0000000000000002
card2,V281,card2__352.0,V281,1.0000000000000002
card2,V284,card2__352.0,V284,1.0000000000000002
card2,V286,card2__352.0,V286,1.0000000000000002
card2,V288,card2__352.0,V288,1.0000000000000002
card2,V289,card2__352.0,V289,1.0000000000000002
card2,V290,card2__352.0,V290,1.0000000000000002
card2,V292,card2__352.0,V292,1.0000000000000002
card2,V297,card2__352.0,V297,1.0000000000000002
card2,V299,card2__352.0,V299,1.0000000000000002
card2,V300,card2__352.0,V300,1.0000000000000002
card2,V301,card2__352.0,V301,1.0000000000000002
card2,V306,card2__352.0,V306,0.9560627702217389
card2,V309,card2__352.0,V309,1.0000000000000002
card2,V311,card2__352.0,V311,1.0000000000000002
card2,V313,card2__352.0,V313,1.0000000000000002
card2,V315,card2__352.0,V315,1.0000000000000002
card2,V319,card2__352.0,V319,1.0000000000000002
card2,V321,card2__352.0,V321,1.0000000000000002
card2,id_17,card2__352.0,id_17__121.0,1.0
card2,id_19,card2__352.0,id_19__410.0,1.0
card2,id_20,card2__352.0,id_20__142.0,1.0
card2,DeviceInfo,card2__352.0,DeviceInfo__Windows,1.0
card2,addr1,card2__360.0,addr1__126.0,1.0
card2,P_emaildomain,card2__375.0,P_emaildomain__hotmail.com,1.0
card2,id_06,card2__375.0,id_06,-1.0000000000000002
card2,V45,card2__418.0,V45,1.0000000000000002
card2,id_14,card2__514.0,id_14__-480.0,1.0
card2,id_30,card2__514.0,id_30__Android 7.0,1.0
card2,id_31,card2__514.0,id_31__samsung browser 6.2,1.0
card2,id_32,card2__514.0,id_32__32.0,1.0
card2,id_33,card2__514.0,id_33__2220x1080,1.0
card2,DeviceType,card2__514.0,DeviceType__mobile,1.0
card2,V95,card2__567.0,V95,1.0
card2,V96,card2__567.0,V96,0.9889589636669703
card2,V97,card2__567.0,V97,0.9974457174120673
card2,V100,card2__567.0,V100,0.9692476431690821
card2,V101,card2__567.0,V101,1.0
card2,V102,card2__567.0,V102,0.9996543867521591
card2,V103,card2__567.0,V103,0.9991323401816897
card2,V126,card2__567.0,V126,1.0000000000000002
card2,V127,card2__567.0,V127,0.957326001443682
card2,V128,card2__567.0,V128,0.9938511339125281
card2,V131,card2__567.0,V131,0.9688035236479967
card2,V132,card2__567.0,V132,1.0000000000000002
card2,V133,card2__567.0,V133,0.9988097127048151
card2,V134,card2__567.0,V134,0.9962345795598618
card2,V280,card2__567.0,V280,0.9922294129960643
card2,V293,card2__567.0,V293,1.0
card2,V294,card2__567.0,V294,0.9996543867521591
card2,V295,card2__567.0,V295,0.9991323401816897
card2,V308,card2__567.0,V308,0.9791404286159807
card2,V316,card2__567.0,V316,1.0000000000000002
card2,V317,card2__567.0,V317,0.9988097127048151
card2,V318,card2__567.0,V318,0.9962345795598618
card3,card5,card3__117.0,card5__134.0,1.0
card3,R_emaildomain,card3__117.0,R_emaildomain__gmail.com,1.0
card3,D7,card3__117.0,D7,1.0000000000000002
card3,V37,card3__117.0,V37,1.0000000000000002
card3,V46,card3__117.0,V46,1.0000000000000002
card3,V55,card3__117.0,V55,1.0000000000000002
card3,V56,card3__117.0,V56,1.0000000000000002
card3,V66,card3__117.0,V66,1.0000000000000002
card3,V67,card3__117.0,V67,1.0000000000000002
card3,V77,card3__117.0,V77,1.0000000000000002
card3,V78,card3__117.0,V78,1.0000000000000002
card3,V167,card3__117.0,V167,1.0000000000000002
card3,V168,card3__117.0,V168,1.0000000000000002
card3,V169,card3__117.0,V169,1.0000000000000002
card3,V170,card3__117.0,V170,1.0000000000000002
card3,V171,card3__117.0,V171,1.0000000000000002
card3,V172,card3__117.0,V172,1.0000000000000002
card3,V174,card3__117.0,V174,1.0000000000000002
card3,V175,card3__117.0,V175,1.0000000000000002
card3,V176,card3__117.0,V176,1.0000000000000002
card3,V202,card3__117.0,V202,1.0000000000000002
card3,V203,card3__117.0,V203,1.0000000000000002
card3,V204,card3__117.0,V204,1.0000000000000002
card3,V205,card3__117.0,V205,1.0000000000000002
card3,V206,card3__117.0,V206,1.0000000000000002
card3,V207,card3__117.0,V207,1.0000000000000002
card3,V208,card3__117.0,V208,1.0000000000000002
card3,V209,card3__117.0,V209,1.0000000000000002
card3,V210,card3__117.0,V210,1.0000000000000002
card3,V214,card3__117.0,V214,1.0000000000000002
card3,V215,card3__117.0,V215,1.0000000000000002
card3,V216,card3__117.0,V216,1.0000000000000002
card3,V217,card3__117.0,V217,1.0000000000000002
card3,V218,card3__117.0,V218,1.0000000000000002
card3,V219,card3__117.0,V219,1.0000000000000002
card3,V220,card3__117.0,V220,1.0000000000000002
card3,V221,card3__117.0,V221,1.0000000000000002
card3,V222,card3__117.0,V222,1.0000000000000002
card3,V223,card3__117.0,V223,1.0000000000000002
card3,V224,card3__117.0,V224,1.0000000000000002
card3,V225,card3__117.0,V225,1.0000000000000002
card3,V227,card3__117.0,V227,1.0000000000000002
card3,V228,card3__117.0,V228,1.0000000000000002
card3,V229,card3__117.0,V229,1.0000000000000002
card3,V230,card3__117.0,V230,1.0000000000000002
card3,V263,card3__117.0,V263,1.0000000000000002
card3,V264,card3__117.0,V264,1.0000000000000002
card3,V265,card3__117.0,V265,1.0000000000000002
card3,V266,card3__117.0,V266,1.0000000000000002
card3,V267,card3__117.0,V267,1.0000000000000002
card3,V268,card3__117.0,V268,1.0000000000000002
card3,V270,card3__117.0,V270,1.0000000000000002
card3,V271,card3__117.0,V271,1.0000000000000002
card3,V272,card3__117.0,V272,1.0000000000000002
card3,V276,card3__117.0,V276,1.0000000000000002
card3,V277,card3__117.0,V277,1.0000000000000002
card3,V278,card3__117.0,V278,1.0000000000000002
card3,V281,card3__117.0,V281,1.0000000000000002
card3,V284,card3__117.0,V284,1.0000000000000002
card3,V286,card3__117.0,V286,1.0000000000000002
card3,V288,card3__117.0,V288,1.0000000000000002
card3,V289,card3__117.0,V289,1.0000000000000002
card3,V290,card3__117.0,V290,1.0000000000000002
card3,V292,card3__117.0,V292,1.0000000000000002
card3,V297,card3__117.0,V297,1.0000000000000002
card3,V299,card3__117.0,V299,1.0000000000000002
card3,V300,card3__117.0,V300,1.0000000000000002
card3,V301,card3__117.0,V301,1.0000000000000002
card3,V306,card3__117.0,V306,0.9560627702217389
card3,V309,card3__117.0,V309,1.0000000000000002
card3,V311,card3__117.0,V311,1.0000000000000002
card3,V313,card3__117.0,V313,1.0000000000000002
card3,V315,card3__117.0,V315,1.0000000000000002
card3,V319,card3__117.0,V319,1.0000000000000002
card3,V321,card3__117.0,V321,1.0000000000000002
card3,id_17,card3__117.0,id_17__121.0,1.0
card3,id_19,card3__117.0,id_19__410.0,1.0
card3,id_20,card3__117.0,id_20__142.0,1.0
card3,DeviceInfo,card3__117.0,DeviceInfo__Windows,1.0
card3,addr1,card3__150.0,addr1____missing__,-1.0
card3,addr2,card3__150.0,addr2__87.0,1.0
card3,C4,card3__150.0,C4,-0.9999999999999998
card3,C7,card3__150.0,C7,-0.9999999999999998
card3,D6,card3__150.0,D6,-0.9999999999999998
card3,D12,card3__150.0,D12,-0.9999999999999998
card3,D13,card3__150.0,D13,-0.9999999999999998
card3,D14,card3__150.0,D14,-0.9999999999999998
card3,id_13,card3__150.0,id_13__52.0,-1.0
card3,P_emaildomain,card3__185.0,P_emaildomain__hotmail.com,1.0
card3,id_06,card3__185.0,id_06,-1.0000000000000002
card4,card4,card4__mastercard,card4__visa,-1.0
card5,addr1,card5__102.0,addr1__420.0,1.0
card5,id_14,card5__102.0,id_14__-480.0,1.0
card5,id_19,card5__102.0,id_19__542.0,1.0
card5,id_20,card5__102.0,id_20__144.0,1.0
card5,id_30,card5__102.0,id_30__Android 7.0,1.0
card5,id_31,card5__102.0,id_31__samsung browser 6.2,1.0
card5,id_32,card5__102.0,id_32__32.0,1.0
card5,id_33,card5__102.0,id_33__2220x1080,1.0
card5,DeviceType,card5__102.0,DeviceType__mobile,1.0
card5,DeviceInfo,card5__102.0,DeviceInfo__SAMSUNG SM-G892A Build/NRD90M,1.0
card5,V95,card5__117.0,V95,1.0
card5,V96,card5__117.0,V96,0.9889589636669703
card5,V97,card5__117.0,V97,0.9974457174120673
card5,V100,card5__117.0,V100,0.9692476431690821
card5,V101,card5__117.0,V101,1.0
card5,V102,card5__117.0,V102,0.9996543867521591
card5,V103,card5__117.0,V103,0.9991323401816897
card5,V126,card5__117.0,V126,1.0000000000000002
card5,V127,card5__117.0,V127,0.957326001443682
card5,V128,card5__117.0,V128,0.9938511339125281
card5,V131,card5__117.0,V131,0.9688035236479967
card5,V132,card5__117.0,V132,1.0000000000000002
card5,V133,card5__117.0,V133,0.9988097127048151
card5,V134,card5__117.0,V134,0.9962345795598618
card5,V280,card5__117.0,V280,0.9922294129960643
card5,V293,card5__117.0,V293,1.0
card5,V294,card5__117.0,V294,0.9996543867521591
card5,V295,card5__117.0,V295,0.9991323401816897
card5,V308,card5__117.0,V308,0.9791404286159807
card5,V316,card5__117.0,V316,1.0000000000000002
card5,V317,card5__117.0,V317,0.9988097127048151
card5,V318,card5__117.0,V318,0.9962345795598618
card5,R_emaildomain,card5__134.0,R_emaildomain__gmail.com,1.0
card5,D7,card5__134.0,D7,1.0000000000000002
card5,V37,card5__134.0,V37,1.0000000000000002
card5,V46,card5__134.0,V46,1.0000000000000002
card5,V55,card5__134.0,V55,1.0000000000000002
card5,V56,card5__134.0,V56,1.0000000000000002
card5,V66,card5__134.0,V66,1.0000000000000002
card5,V67,card5__134.0,V67,1.0000000000000002
card5,V77,card5__134.0,V77,1.0000000000000002
card5,V78,card5__134.0,V78,1.0000000000000002
card5,V167,card5__134.0,V167,1.0000000000000002
card5,V168,card5__134.0,V168,1.0000000000000002
card5,V169,card5__134.0,V169,1.0000000000000002
card5,V170,card5__134.0,V170,1.0000000000000002
card5,V171,card5__134.0,V171,1.0000000000000002
card5,V172,card5__134.0,V172,1.0000000000000002
card5,V174,card5__134.0,V174,1.0000000000000002
card5,V175,card5__134.0,V175,1.0000000000000002
card5,V176,card5__134.0,V176,1.0000000000000002
card5,V202,card5__134.0,V202,1.0000000000000002
card5,V203,card5__134.0,V203,1.0000000000000002
card5,V204,card5__134.0,V204,1.0000000000000002
card5,V205,card5__134.0,V205,1.0000000000000002
card5,V206,card5__134.0,V206,1.0000000000000002
card5,V207,card5__134.0,V207,1.0000000000000002
card5,V208,card5__134.0,V208,1.0000000000000002
card5,V209,card5__134.0,V209,1.0000000000000002
card5,V210,card5__134.0,V210,1.0000000000000002
card5,V214,card5__134.0,V214,1.0000000000000002
card5,V215,card5__134.0,V215,1.0000000000000002
card5,V216,card5__134.0,V216,1.0000000000000002
card5,V217,card5__134.0,V217,1.0000000000000002
card5,V218,card5__134.0,V218,1.0000000000000002
card5,V219,card5__134.0,V219,1.0000000000000002
card5,V220,card5__134.0,V220,1.0000000000000002
card5,V221,card5__134.0,V221,1.0000000000000002
card5,V222,card5__134.0,V222,1.0000000000000002
card5,V223,card5__134.0,V223,1.0000000000000002
card5,V224,card5__134.0,V224,1.0000000000000002
card5,V225,card5__134.0,V225,1.0000000000000002
card5,V227,card5__134.0,V227,1.0000000000000002
card5,V228,card5__134.0,V228,1.0000000000000002
card5,V229,card5__134.0,V229,1.0000000000000002
card5,V230,card5__134.0,V230,1.0000000000000002
card5,V263,card5__134.0,V263,1.0000000000000002
card5,V264,card5__134.0,V264,1.0000000000000002
card5,V265,card5__134.0,V265,1.0000000000000002
card5,V266,card5__134.0,V266,1.0000000000000002
card5,V267,card5__134.0,V267,1.0000000000000002
card5,V268,card5__134.0,V268,1.0000000000000002
card5,V270,card5__134.0,V270,1.0000000000000002
card5,V271,card5__134.0,V271,1.0000000000000002
card5,V272,card5__134.0,V272,1.0000000000000002
